Timestep,Training Rewards,Eval Rewards,Max Q,Loss,Entropy,KL
2048,25.0,45.71666666666667,0.4314395487308502,1.1864611276984214,0.6887060155471166,0.00023983328719623387
4096,30.4,74.18333333333334,1.081196516752243,1.1811475148948132,0.6689772382378578,0.0010988538269884884
6144,31.8,76.65,1.7491271376609803,1.1749077323433765,0.6441763378679752,0.002047866080829408
8192,51.8,49.6,2.291369545459747,1.167907076674363,0.6344358205795289,0.0015871239127591252
10240,50.8,121.11666666666666,2.8864689111709594,1.1524807211780939,0.632846474647522,0.0014251774991862476
12288,46.9,125.25,3.3687617778778076,1.1342997876060261,0.6307782199647691,0.0016174220298934314
14336,60.7,66.05,3.68642418384552,1.1123813685577755,0.6236157044768333,0.0013573607429862022
16384,62.6,176.08333333333334,4.228369569778442,1.0857808785673644,0.6205713093280792,-0.0006428955879528075
18432,63.7,200.0,4.760773777961731,1.0609282521723566,0.6167852938175201,-0.00035271429806016386
20480,84.1,200.0,5.291636943817139,1.0351248746149948,0.6182683438062668,0.000483966147294268
22528,122.1,200.0,5.725325512886047,1.0092046048978218,0.6209879398345948,0.0004341941268648952
24576,68.9,200.0,6.098187494277954,0.9701648757241129,0.6052449196577072,0.0005258927325485274
26624,81.7,200.0,6.31639289855957,0.9337935098213836,0.6137962192296982,0.00011884377454407513
28672,86.6,200.0,6.439818811416626,0.8923732294513876,0.6135495007038116,-0.00015793526254128664
30000,93.1,200.0,6.501633405685425,0.8446473982582252,0.6679553985595703,0.4961382746696472
