Timestep,Training Rewards,Max Q,Eval Rewards,Loss
3500,-500.0,0.06481628783481197,-500.0,0.13882905077399746
5000,-500.0,0.25326862046363013,-495.4633333333333,0.0005764876904854082
6500,-500.0,0.4826503327640286,-446.82733333333334,0.0005855900882017771
8000,-500.0,0.7631179995849365,-422.2352,0.0007971729336894908
9500,-500.0,1.0923116703157758,-416.82816,0.0009896619310750382
11442,-497.09720000000004,1.4919573882183768,-413.11919466666666,0.0020707295370624994
12942,-496.11443306666666,1.9319154309316269,-421.3920224,0.0011062024264889888
14442,-495.6112563968,2.4014810119916223,-421.9202845866667,0.0019115229875988652
15942,-496.33696327516157,2.8990384202654065,-419.852894336,0.0011846886758815661
17442,-498.1245251968828,3.4171391999374023,-417.20564880213334,0.0017281043375464607
19364,-496.01913885397653,3.990927135085132,-433.76451904170665,0.0021478520226002893
20864,-494.7491324265693,4.568625190485916,-408.5549485666986,0.0018710213187813599
22364,-494.09888913573684,5.159367297614002,-382.7806255200256,0.0016064423582651877
24169,-485.36957165666445,5.774127763336275,-353.6978337493538,0.0017825738126531039
25940,-480.0075098839032,6.414262824094414,-332.6916003328164,0.0018273009079176666
27834,-467.5926760484468,7.077261461677343,-307.93661359958645,0.0009781641079133633
29377,-436.192928087555,7.739135816499211,-286.13929087966915,0.0016279352126947668
30938,-400.51049001132924,8.407039809086486,-282.8947660370687,0.0023549816185263225
32620,-338.4242858935298,9.069353011107031,-255.54247949632162,0.0021219429490190967
34288,-287.2001568010188,9.741567322946317,-239.04065026372396,0.0019561365953103607
35940,-257.80600152355703,10.412928134805163,-213.4758535443125,0.0019598935082762534
37465,-224.5757061099038,11.080236946767954,-193.1273495021167,0.0029341151434680982
38974,-185.9615836087337,11.746557506576499,-181.61187960169335,0.0019309410542159096
40498,-166.5514295245796,12.40316490953596,-169.0995036813547,0.0033336164707886183
42068,-166.70059137260785,13.059294132975403,-163.10960294508374,0.0031589981971761757
43711,-147.66475688360336,13.721244511487143,-164.99434902273364,0.0030684758546739373
45420,-149.23437471141736,14.378392255186778,-153.46881255152024,0.0026383301128054108
46972,-158.58833049914702,15.040850503255944,-186.38171670788284,0.0030471938536163518
48525,-142.58294296847484,15.697900745486775,-239.58537336630627,0.0034644841592536015
50394,-134.57929689469384,16.350994193507702,-217.34829869304502,0.0035084095652332314
51922,-162.33034463981437,16.993431557756928,-200.07863895443603,0.004525422944883203
53533,-142.88059179030157,17.63318040444192,-186.4895778302155,0.0032640247285619472
55138,-135.2297898233462,18.268837731907468,-173.5016622641724,0.0025480149858119402
56671,-130.8995934040783,18.892831608232342,-159.7913298113379,0.004617355525395303
58245,-131.08639605836072,19.51157645325305,-147.75973051573698,0.0036035445005968623
59770,-131.72163019092991,20.12249179432626,-141.2177844125896,0.004880607653760528
